"code","name","portfolio_lvr","standard_lvr","single_lvr"
"A1N","A1N ARN MEDIA LIMITED 40% 0% 0%","40","0","0"
"A200","A200 BETASHARES AUSTRALIA 200 ETF 80% 75% 70%","80","75","70"
"A2M","A2M THE A2 MILK COMPANY LIMITED 60% 55% 50%","60","55","50"
"AAA","AAA BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF 90% 85% 80%","90","85","80"
"AAC","AAC AUSTRALIAN AGRICULTURAL COMPANY LIMITED 50% 45% 40%","50","45","40"
"ABA","ABA AUSWIDE BANK LTD 45% 40% 35%","45","40","35"
"ABB","ABB AUSSIE BROADBAND LIMITED 40% 35% 30%","40","35","30"
"ABC","ABC ADELAIDE BRIGHTON LIMITED 55% 50% 45%","55","50","45"
"ABG","ABG ABACUS GROUP 65% 60% 55%","65","60","55"
"ACDC","ACDC GLOBAL X BATTERY TECH & LITHIUM ETF 65% 60% 55%","65","60","55"
"ACL","ACL AUSTRALIAN CLINICAL LABS LIMITED 50% 45% 40%","50","45","40"
"AD8","AD8 AUDINATE GROUP LIMITED 40% 0% 0%","40","0","0"
"ADH","ADH ADAIRS LIMITED 45% 40% 35%","45","40","35"
"AEF ","AEF AUSTRALIAN ETHICAL INVESTMENT LIMITED 40% 35% 30%","40","35","30"
"AFG","AFG AUSTRALIAN FINANCE GROUP LTD 40% 35% 30%","40","35","30"
"AFI","AFI AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED 75% 70% 65%","75","70","65"
"AGL","AGL AGL ENERGY LIMITED 70% 65% 60%","70","65","60"
"AGX1","AGX1 ANTIPODES GLOBAL SHARES (QUOTED MANAGED FUND) 65% 60% 55%","65","60","55"
"AIA","AIA AUCKLAND INTERNATIONAL AIRPORT LIMITED 65% 60% 55%","65","60","55"
"AIS","AIS AERIS RESOURCES LIMITED 40% 0% 0%","40","0","0"
"AIZ","AIZ AIR NEW ZEALAND LIMITED 45% 40% 35%","45","40","35"
"AKE","AKE ALLKEM LIMITED 50% 45% 40%","50","45","40"
"ALD","ALD AMPOL LIMITED 70% 65% 60%","70","65","60"
"ALI","ALI ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED 60% 55% 50%","60","55","50"
"ALK","ALK ALKANE RESOURCES LIMITED 40% 35% 30%","40","35","30"
"ALL","ALL ARISTOCRAT LEISURE LIMITED 75% 70% 65%","75","70","65"
"ALQ","ALQ ALS LIMITED 70% 65% 60%","70","65","60"
"ALU","ALU ALTIUM LIMITED 60% 55% 50%","60","55","50"
"ALX","ALX ATLAS ARTERIA 70% 65% 60%","70","65","60"
"AMC","AMC AMCOR PLC 75% 70% 65%","75","70","65"
"AMH","AMH AMCIL LIMITED 55% 50% 45%","55","50","45"
"AMP","AMP AMP LIMITED 60% 55% 50%","60","55","50"
"AMPPB","AMPPB AMP LIMITED 60% 55% 50%","60","55","50"
"AN3PG","AN3PG AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED 80% 75% 70%","80","75","70"
"AN3PH","AN3PH AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED 80% 75% 70%","80","75","70"
"AN3PI","AN3PI AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED 80% 75% 70%","80","75","70"
"AN3PJ","AN3PJ AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED 80% 75% 70%","80","75","70"
"AN3PK","AN3PK AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED 80% 75% 70%","80","75","70"
"ANN","ANN ANSELL LIMITED 65% 60% 55%","65","60","55"
"ANZ","ANZ AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED 80% 75% 70%","80","75","70"
"AOF","AOF AUSTRALIAN UNITY OFFICE FUND 40% 35% 30%","40","35","30"
"APA","APA APA GROUP 75% 70% 65%","75","70","65"
"APE","APE EAGERS AUTOMOTIVE LIMITED 45% 40% 35%","45","40","35"
"APM","APM APM HUMAN SERVICES INTERNATIONAL LIMITED 50% 45% 40%","50","45","40"
"ARB","ARB ARB CORPORATION LIMITED 65% 60% 55%","65","60","55"
"ARF","ARF ARENA REIT. 60% 55% 50%","60","55","50"
"ARG","ARG ARGO INVESTMENTS LIMITED 75% 70% 65%","75","70","65"
"ASB","ASB AUSTAL LIMITED 60% 55% 50%","60","55","50"
"ASIA","ASIA BETASHARES ASIA TECHNOLOGY TIGERS ETF 70% 65% 60%","70","65","60"
"ASK","ASK ABACUS STORAGE KING 65% 60% 55%","65","60","55"
"ASX","ASX ASX LIMITED 75% 70% 65%","75","70","65"
"ATEC","ATEC BETASHARES S&P/ASX AUSTRALIAN TECHNOLOGY ETF 65% 60% 55%","65","60","55"
"AUB","AUB AUB GROUP LIMITED 65% 60% 55%","65","60","55"
"AUI","AUI AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED 65% 60% 55%","65","60","55"
"AUMF","AUMF ISHARES EDGE MSCI AUSTRALIA MULTIFACTOR ETF 80% 75% 70%","80","75","70"
