"code","name","portfolio_lvr","standard_lvr","single_lvr"
"BLX","BEACON LIGHTING GROUP LIMITED","40","35","30"
"A1N","ARN MEDIA LIMITED","40","0","0"
"CURRENCY","HEDGED","70","65","60"
"200","ETF","80","75","70"
"BOQ","BANK OF QUEENSLAND LIMITED","70","65","60"
"A2","MILK COMPANY LIMITED","60","55","50"
"BOQPF","BANK OF QUEENSLAND LIMITED","70","65","60"
"AAA","BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF","90","85","80"
"BPT","BEACH ENERGY LIMITED","60","55","50"
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED","50","45","40"
"BRG","BREVILLE GROUP LIMITED","60","55","50"
"AAI","ALCOA CORPORATION","65","60","55"
"BSL","BLUESCOPE STEEL LIMITED","75","70","65"
"ABA","AUSWIDE BANK LTD","45","40","35"
"BWP","BWP TRUST","70","65","60"
"ABB","AUSSIE BROADBAND LIMITED","40","35","30"
"BXB","BRAMBLES LIMITED","80","75","70"
"ABG","ABACUS GROUP","60","55","50"
"CAR","CAR GROUP LIMITED","70","65","60"
"LITHIUM","ETF","65","60","55"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","80","75","70"
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","50","45","40"
"CBAPG","COMMONWEALTH BANK OF AUSTRALIA","80","75","70"
"AD8","AUDINATE GROUP LIMITED","40","0","0"
"CBAPI","COMMONWEALTH BANK OF AUSTRALIA","80","75","70"
"ADH","ADAIRS LIMITED","45","40","35"
"CBAPJ","COMMONWEALTH BANK OF AUSTRALIA","80","75","70"
"ADT","ADRIATIC METALS PLC","40","0","0"
"CBAPK","COMMONWEALTH BANK OF AUSTRALIA","80","75","70"
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","40","35","30"
"CBAPL","COMMONWEALTH BANK OF AUSTRALIA","80","75","70"
"AEL","AMPLITUDE ENERGY LIMITED","40","35","30"
"CBAPM","COMMONWEALTH BANK OF AUSTRALIA","80","75","70"
"AFG","AUSTRALIAN FINANCE GROUP LTD","40","35","30"
"CBO","COBRAM ESTATE OLIVES LIMITED","40","0","0"
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","75","70","65"
