code,name,portfolio_lvr,standard_lvr,single_lvr
360,LIFE360 INC,40,0,0
A1N,ARN MEDIA LIMITED,40,0,0
A200,BETASHARES AUSTRALIA 200 ETF,80,75,70
A2M ,THE A2 MILK COMPANY LIMITED,60,55,50
AAA,BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF,90,85,80
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED,50,45,40
AAI,ALCOA CORPORATION,65,60,55
AASF,AIRLIE AUSTRALIAN SHARE FUND - ACTIVE ETF,75,70,65
ABA,AUSWIDE BANK LTD,45,40,35
ABB,AUSSIE BROADBAND LIMITED,40,35,30
ABG,ABACUS GROUP,60,55,50
ACDC,GLOBAL X BATTERY TECH AND LITHIUM ETF,65,60,55
ACL,AUSTRALIAN CLINICAL LABS LIMITED,50,45,40
AD8,AUDINATE GROUP LIMITED,40,0,0
ADH,ADAIRS LIMITED ,45,40,35
ADT,ADRIATIC METALS PLC ,40,0,0
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,40,35,30
AEL,AMPLITUDE ENERGY LIMITED,40,35,30
AFG,AUSTRALIAN FINANCE GROUP LTD,40,35,30
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LTD,75,70,65
AGL,AGL ENERGY LIMITED ,70,65,60
AGX1,ANTIPODES GLOBAL SHARES (QUOTED MANAGED FUND),65,60,55
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,70,65,60
AIS,AERIS RESOURCES LIMITED,40,0,0
AIZ,AIR NEW ZEALAND LIMITED,45,40,35
ALD ,AMPOL LIMITED,70,65,60
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED ,60,55,50
ALK,ALKANE RESOURCES LIMITED,40,35,30
ALL,ARISTOCRAT LEISURE LIMITED,40,35,30
ALQ ,ALS LIMITED,70,65,60
ALX,ATLAS ARTERIA,75,70,65
AMC,AMCOR PLC,75,70,65
AMH,AMCIL LIMITED,55,50,45
AMP,AMP LIMITED,60,55,50
AMPPB,AMP LIMITED,60,55,50
AN3PH,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,80,75,70
AN3PI,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,80,75,70
AN3PJ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,80,75,70
AN3PK,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,80,75,70
AN3PL,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,80,75,70
ANN,ANSELL LIMITED,65,60,55
ANZ,ANZ GROUP HOLDINGS LIMITED,80,75,70
AOF,AUSTRALIAN UNITY OFFICE FUND,40,35,30
AOV,AMOTIV LIMITED,60,55,50
APA,APA GROUP,75,70,65
APE,EAGERS AUTOMOTIVE LIMITED,55,50,45
ARB,ARB CORPORATION LIMITED,65,60,55
ARF,ARENA REIT,65,60,55
ARG,ARGO INVESTMENTS LIMITED,75,70,65
ASB,AUSTAL LIMITED,60,55,50
ASIA,BETASHARES ASIA TECHNOLOGY TIGERS ETF,70,65,60
ASK,ABACUS STORAGE KIND,65,60,55
ASX,ASX LIMITED,75,70,65
ATEC,BETASHARES S&P/ASX AUSTRALIAN TECHNOLOGY ETF,70,65,60
AUB,AUB GROUP LIMITED,70,65,60
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,70,65,60
AUMF,ISHARES EDGE MSCI AUSTRALIA MULIFACTOR ETF,80,75,70
AX1,ACCENT GROUP LIMITED,50,45,40
AZJ,AURIZON HOLDINGS LIMITED,75,70,65
BAP,BAPCOR LIMITED,50,45,40
BBN,BABY BUNTING GROUP LIMITED,45,40,35
BCI,BCI MINERALS LIMITED,40,0,0
BEAR,BETASHARES AUSTRALIAN EQUITIES BEAR (HEDGE FUND),80,75,70
BEN,BENDIGO AND ADELAIDE BANK LIMITED,70,65,60
BENPH,BENDIGO AND ADELAIDE BANK LIMITED,70,65,60
BENPI,BENDIGO AND ADELAIDE BANK LIMITED,70,65,60
BFG,BELL FINANCIAL GROUP LIMITED,40,0,0
BGA,BEGA CHEESE LIMITED,55,50,45
BGBL,BETASHARES GLOBAL SHARES ETF,75,70,65
BGL,BELLEVUE GOLD LIMITED,40,0,0
BHP,BHP GROUP LIMITED,80,75,70
BHYB,BETASHARES AUSTRALIAN MAJOR BANK HYBRIDS INDEX ETF,75,70,65
BKI,BKI INVESTMENT COMPANY LIMITED,70,65,60
BKW,BRICKWORKS LIMITED,70,65,60
BLX,BEACON LIGHTING GROUP LIMITED,40,35,30
BNKS,BETASHARES GLOBAL BANKS ETF - CURRENCY HEDGED,70,65,60
BOQ,BANK OF QUEENSLAND LIMITED,70,65,60
BOQPF,BANK OF QUEENSLAND LIMITED,70,65,60
BPT,BEACH ENERGY LIMITED,60,55,50
BRG,BREVILLE GROUP LIMITED,60,55,50
BSL,BLUESCOPE STEEL LIMITED,75,70,65
BWP,BWP TRUST,70,65,60
BXB,BRAMBLES LIMITED,80,75,70
CAR,CAR GROUP LIMITED,70,65,60
CBA,COMMONWEALTH BANK OF AUSTRALIA,80,75,70
CBAPG,COMMONWEALTH BANK OF AUSTRALIA,80,75,70
CBAPI,COMMONWEALTH BANK OF AUSTRALIA,80,75,70
CBAPJ,COMMONWEALTH BANK OF AUSTRALIA,80,75,70
CBAPK,COMMONWEALTH BANK OF AUSTRALIA,80,75,70
CBAPL,COMMONWEALTH BANK OF AUSTRALIA,80,75,70
CBAPM,COMMONWEALTH BANK OF AUSTRALIA,80,75,70
CBO,COBRAM ESTATE OLIVES LIMITED,40,0,0
CCP,CREDIT CORP GROUP LIMITED,40,0,0
CDA,CODAN LIMITED,55,50,45
CDM,CADENCE CAPITAL LIMITED,45,40,35
